Date(timestamp),0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1398182400,35.1,29.9,24.6,23.8,23.5,23.3,27.4,23.4,58.4,56.2,44.9,53.2,51.3,54,54.9,75.6,58.1,66.9,62.8,88.3,86.1,90,57.8,46
1398268800,30.6,26.5,27.9,29,24.2,24.7,26.2,34.4,44.7,64.2,59.3,50.7,54.5,55.4,52.6,57.1,69.2,73.7,58.6,84.5,90.3,81.8,60,48.7
1398355200,27.8,28.5,27.4,24.6,24.5,27.4,27.4,31.7,58.7,68.5,60.2,66.5,66.3,62,60.8,64.7,75.8,84.4,77.9,84.2,92.1,82.9,55.9,46.8
1398441600,40.8,29.5,32.6,30.2,30.5,26.5,28.7,36.2,49.8,60.4,65.1,74.9,72.2,67.5,62.6,76.5,71.3,74.3,82.9,88.9,88.8,93.5,66.2,48.1
1398528000,35.9,31.9,34.5,28.5,27,27.3,29,44.1,52.4,71.8,64.2,74.2,75.9,80.7,75.2,75.9,74.2,97.8,84.1,90.6,88.2,84.8,57,43.1
1398614400,32.6,26.7,31.1,25.2,29.7,28.5,32.9,47,45.3,66.1,56.1,68.3,48.3,59.4,61.2,61.2,61.2,73.7,72.8,93.7,89.1,79,68.5,53
1398700800,32.7,28.7,26.7,26.7,24,30.1,30.1,27,50.7,61.4,53.6,60.3,55.7,51.6,68.2,57.9,63.4,67.2,70.8,93.2,90.9,88.7,50.6,45.3
1398787200,40.3,32.1,31.3,26.7,25,27.7,27.5,33.6,45.8,70.1,58,73.8,58.1,57.3,59.9,66.5,63.8,95.9,71.2,83.2,97.9,98.7,63.2,51
1398873600,41.5,32.1,28.1,28.5,24.8,32.4,30.3,31.6,70.8,70.9,77.9,86.7,73.1,72.4,103.7,99.8,100,116,75.9,92.3,94.1,98.1,84.6,65.8
1398960000,48.2,31.3,29.8,28.3,23.8,32.1,29,37.4,60.1,69.4,69.2,64.5,63.1,85.5,82.8,100.5,108.9,86.3,81.1,82.5,88.1,90.1,68.6,51
1399046400,36,32.3,29.2,27.7,27.4,23.8,29.4,37.2,57.8,72.1,61.2,61.7,61.5,69,69.6,76.4,69.6,72.1,61.8,98.8,89.3,97.5,72.4,38.4
1399132800,33.9,24,27.5,25,25.9,25.6,21.1,27.1,42.6,66.3,63.1,68.8,60.1,67.4,63.3,66.9,63.1,79.2,73.4,89,90.1,79.9,66.5,42.5
1399219200,35,31.3,25.5,24.1,23.5,24.4,27.2,20.2,50.5,67.8,53.7,61.4,50.4,60.8,59.3,58.6,61.5,59.4,65,78.1,81.6,75.1,67.9,47
